"TSE number","names"
"32010","日本毛織 | THE JAPAN WOOL TEXTILE | ニッポンケオリカブシキカイシャ"
"32040","トーア紡 | Toabo | トーアボウ"
"33060","日本製麻 | THE NIHON SEIMA CO.,LTD | ニホンセイマ"
"33020","帝国繊維 | TEIKOKU SEN-I | テイコクセンイ"
"35690","セーレン | seiren | セーレン"
"35770","東海染工 | Tokai Senko K.K. | トウカイセンコウ"
"34090","北日本紡績 | キタニホンボウセキ"
"35290","アツギ | ATSUGI | アツギ"
"35710","ソトー | SOTOH | ソトー"
"80910","ニチモウ | NICHIMO | ニチモウ"
"80130","ナイガイ | NAIGAI | ナイガイ"
"35130","イチカワ | ICHIKAWA | イチカワ"
"35120","日本フエルト | NIPPON FELT | ニホンフエルト"
"35010","住江織物 | Suminoe Textile | スミノエオリモノカブシキカイシャ"
"35210","エコナックホールディングス | ECONACH HOLDINGS | エコナックホールディングス"
"35260","芦森工業 | Ashimori Industry Co.,Ltd | アシモリコウギョウ"
"35240","日東製網 | NITTO SEIMO | ニットウセイモウ"
"35830","オーベクス | AuBEX | オーベクス"
"30110","バナーズ | BANNERS | バナーズ"
"35910","ワコールホールディングス | WACOAL HOLDINGS CORP. | ワコールホールディングス"
"35800","小松マテーレ | KOMATSU MATERE | コマツマテーレ"
"80110","三陽商会 | SANYO SHOKAI LTD. | サンヨウショウカイ"
"81270","ヤマトインターナショナル | YAMATOINTERNATIONAL | ヤマトインターナショナル"
"81140","デサント | DESCENTE,LTD. | デサント"
"81110","ゴールドウイン | GOLDWIN | ゴールドウイン"
"80290","ルックホールディングス | LOOK HOLDINGS INCORPORATED | ルックホールディングス"
"81430","ラピーヌ | LAPINE CO.,LTD | ラピーヌ"
"35970","自重堂 | JICHODO | ジチョウドウ"
"99800","ＭＲＫホールディングス | MRK HOLDINGS | エムアールケイホールディングス"
"36000","フジックス | FUJIX Ltd. | フジックス"
"36040","川本産業 | KAWAMOTO | カワモトサンギョウ"
"36070","クラウディアホールディングス | KURAUDIA HOLDINGS | クラウディアホールディングス"
"78980","ウッドワン | WOOD ONE | ウッドワン"
"78220","永大産業 | Eidai | エイダイサンギョウ"
"78970","ホクシン | HOKUSHIN | ホクシン"
"78960","セブン工業 | SEVEN INDUSTRIES | セブンコウギョウ"
"78870","南海プライウッド | NANKAI PLYWOOD CO.,LTD | ナンカイプライウッド"
"78790","ノダ | NODA | ノダ"
"78270","オービス | ORVIS | オービス"
"78200","ニホンフラッシュ | NIHON FLUSH | ニホンフラッシュ"
"38610","王子ホールディングス | Oji Holdings | オウジホールディングス"
"38640","三菱製紙 | MITSUBISHI PAPER MILLS LIMITED | ミツビシセイシ"
"38650","北越 | Hokuetsu | ホクエツ"
"38770","中越パルプ工業 | Chuetsu Pulp & Paper | チュウエツパルプコウギョウ"
